Area,Career Level,Company,Company Website,Data Source,Date Posted,Date Scraped,Employer Contact Number,Employer Email,Industry,Job Description,Job Functions,Job Highlights,Job Link,Job Title,Job Type,Qualification,Salary,Search Term,Jobtick Avgsalary,Jobtick Productjobs,Jobtick Prototyping,Jobtick Research,Jobtick Uiuxjobs,Jobtick Webmobileappjobs,Jobtick Wireframing,Jobtick Writing,Lower Salary Range,Upper Salary Range,Years of Experience
Not Specified,Entry,Anywhere Everywhere Six Degrees Link Limited,Not Specified,JobsDB,10-19-2021,22-10-2021,,,Human Resources Management/Consultancy,"['Responsibilities:', 'Lead the design and creation of UI/UX for online marketing campaigns', 'Manage user experience design from end user’s requirement analysis, through wire framing, mockup and rapid prototyping for various interfaces, including websites, mobile devices and apps', 'Analyze current user journey to understand motivation, expose pain points, issues and improvement opportunities', 'Able to communicate concepts and work collaboratively with project team in order to develop the most efficient design schemas', 'Requirements:\xa0', 'Bachelor’s degree in design, industrial design or related field from a reputable institution', '1 year or above professional experience in designing digital products, websites and mobile apps', 'Understanding of user experience, information architecture, interaction design and visual design', 'Ability to articulate design choices and build consensus within team', 'Experience with Adobe XD, Sketch, invision, Axure, Adobe Photoshop/Illustrator and related wireframe tools ","Design, Graphics, Information Technology (IT), UI/UX Designer","['Work Life Balance', 'Chance to communicate to the clients directly', 'Adobe Xd / Sketch']",/hk/en/job/ui-ux-designer-100003008827016,UI/UX Designer,Full Time,Not Specified,Not Specified,UI UX Designer,,,1,,1,,1,,,,-1
Not Specified,Entry,HKT,http://www.pccw.com,JobsDB,10-20-2021,22-10-2021,,,Telecommunication,"['We are looking for people who are passionate about their work, and are willing to go above and beyond their job description and be a part of the transformation project that aims to drive the next generation of digital experience.', 'Your Role:', 'Work with design\xa0team from research to concept to detailed design to development and delivery', 'Formulate & evolve the design process and standards', 'Communicate with business users to analyze and clarify user requirements and offer solutions to UI/UX problems', 'Heavily involved in projects from concept to completion', 'Design professional user interface and conducting usability test', 'Produce establish sketches, flowcharts, wireframes, mockups, interactive prototypes, decks and engaging design solutions', 'Utilize your tools and techniques to the full extent to create design solutions', 'Prepare and present UI/UX design solutions', 'Conduct layout adjustments based on users and team feedback', 'Initiative to identify and troubleshoot UI/UX problems', 'Able ","Information Technology (IT), Application Specialist - Software, Software Development","['UX/UI', 'Adobe Creative Cloud, Sketch or wireframing tools', 'Multimedia / Interactive / Human-Computer Interaction / Design']",/hk/en/job/ux-ui-designer-100003008830776,UX/UI Designer,Full Time,Degree,Not Specified,UI UX Designer,,,1,1,1,,1,,,,-1
Not Specified,Senior,M800 Limited,https://www.maaiiconnect.com/,JobsDB,10-21-2021,22-10-2021,,,Telecommunication,"['We are a leading global CPaaS provider recognized for offering carrier-grade communication solutions for enterprise and carriers.\xa0 With over 35 years of experience developing industry-leading solutions in the telecommunication, mobiles, and software industry,\xa0We are now pioneering the global telecommunication and IT convergence space by connecting to more than 300 global carriers and supporting over 600 large enterprise customers including blue-chip and fortune 500 companies through our communication platform.', 'What will you do in this role:', 'Responsible for\xa0UX/UI design on website, mobile app project and marketing materials', 'Create sketches, flow diagrams, wireframe, prototype, mockup and detail schematics', 'Work closely with developers to ensure technical feasibility', 'Ensuring the proposed design and UX for all products is technically achievable and in the best interests of the customer', 'Creation and maintenance of design library alongside internal UX team', 'Work with teams to develop","Design, Industrial / Product, Information Technology (IT), Mobile / Wireless Communications, UI/UX Designer","['UX/UI design on website, mobile app and materials', 'Graphical sense of website and mobile interface', 'Experience in B2B Mobile / Website UX/UI design']",/hk/en/job/senior-ux-ui-designer-100003008833835,Senior UX/UI Designer,"Full Time, Permanent",Not Specified,Not Specified,UI UX Designer,,,1,,1,,1,,,,-1
Not Specified,Entry,Automated Systems (HK) Limited,http://www.asl.com.hk,JobsDB,10-21-2021,22-10-2021,,,Information Technology,"['Job Highlight', 'There are opportunities for your career promotion every year', 'You will have opportunities to try different projects and enjoy development space in our company, as Public Sector, Banking', 'You will become part of our talented and core team members and work as a part of a team and individually with little supervision', 'Job Responsibilities:', 'Prepare UX/UI design and materials including wire framing, mockup and rapid prototyping for various interfaces, including websites, mobile devices and apps for public use', 'Analyst current user journey to understand motivation, expose pain points, issues and improvement opportunities', 'Conduct user research, user testing, project evaluation and propose solutions to optimize customer experience', 'Able to communicate concepts and work collaboratively with project team in order to develop the most efficient design schemas', 'Job Requirements:', 'Degree holder or above with major in multimedia design, computer science or equivalent education', 'At le","Design, Multi-media, Information Technology (IT), Software Development, UI/UX Designer","['There are opportunities for your career promotion', 'Have opportunities to try different projects', 'Become part of our talented and core team members']",/hk/en/job/ux-ui-designer-senior-ux-ui-designer-100003008831701,UX/UI Designer / Senior UX/UI Designer,"Full Time, Contract",Degree,Not Specified,UI UX Designer,,,1,1,1,,,,,,2
Not Specified,Entry,Sing Tao Management Services Limited,Not Specified,JobsDB,10-19-2021,22-10-2021,,,Media/Publishing/Printing,"['Responsibilities:', 'Gather and evaluate user requirements in collaboration with product managers and engineers', 'Illustrate design ideas using storyboards, process flows and sitemaps', 'Design graphic user interface elements, like menus, tabs and widgets', 'Build page navigation buttons and search fields', 'Develop UI mock-ups and prototypes that clearly illustrate how sites function and look like', 'Create original graphic designs', 'Prepare and present rough drafts to internal teams and key stakeholders', 'Identify and troubleshoot UX problems', 'Conduct layout adjustments based on user feedback', 'Adhere to style standards on fonts, colors and images', 'Requirements:', '2+ years of experience as a UI/UX Designer or similar role', 'Portfolio of design projects', 'Experience with HTML5 / CSS3 / Photoshop / Illustrator / InDesign / XD / Sketch', 'Up-to-date knowledge of design software like Adobe Illustrator and Photoshop', 'Team spirit; strong communication skills to collaborate with various stakeholders","Information Technology (IT), Others, UI/UX Designer","['Create original graphic designs', 'Identify and troubleshoot UX problems', '2+ years of experience as a UI/UX Designer']",/hk/en/job/ui-ux-designer-new-media-business-100003008824655,UI-UX Designer (New Media Business),"Full Time, Permanent",Non-Degree Tertiary,Not Specified,UI UX Designer,,,1,,1,,,,,,-1
Not Specified,Entry,A.S. Watson Retail (HK) Limited,https://www.aswatsoncareers.com/,JobsDB,10-22-2021,22-10-2021,,,Wholesale / Retail,"['Come and join a Winning Team', 'We are Awesome!', 'Why Should You Join Us?', 'At ASW, we believe in our people, in teamwork and the importance of your personal growth.\xa0If you are looking for the opportunity to join our award-winning international family with 15,000+ stores across 25 markets in Asia and Europe, the ASW family welcomes you…\xa0 ', '#', 'BePartof', 'M', 'O', 'R', 'E', 'You can enjoy:', 'Competitive compensation and benefits!', 'Five-day work, plus casual wear every Friday, TGIF!', 'Attractive ACCA and CPA Australia Recognized Employee Partnership for F&A talents!', 'Exclusive company pension schemes for our people!', 'Convenient office location, less than 5 min. walk from MTR!', 'Exclusive shopping discount!', 'Contemporary workplace, free drinks and chill out areas!', 'Onsite Clinic and Lactation Room!', 'Free round-trip lunchtime shuttle bus services to Shatin!', 'Exclusive Bazaar Sales for our people only!', 'Role Purpose:', 'As a ', '(Senior)', '\xa0', 'UX & Design Specialist', ', you w","Design, Web Designer, E-commerce, Marketing - Brand / Product Management, Information Technology (IT), UI/UX Designer","['3 years in relevant experience', 'Hands-on and proven experiences in UX & UI design', 'Have O2O commerce experience']",/hk/en/job/senior-ux-design-specialist-100003008838334,(Senior) UX & Design Specialist,Permanent,Degree,Not Specified,UI UX Designer,,,1,,1,,1,,,,3
Not Specified,Middle,Osmium Consulting Group Limited,Not Specified,JobsDB,10-19-2021,22-10-2021,,,Human Resources Management/Consultancy,"['\xa0Responsibilities :', 'Execute creative solutions to meet the client needs', 'Improve designs via wireframe and prototyping', 'Follow through product from concept development, artwork design\xa0and production', 'Conduct research via focus groups and usability tests', 'Create compelling user interface designs for Mobile apps and', 'websites', '\xa0', 'Requirements :', 'Diploma or above in Graphic / Multimedia Design or related', 'disciplines', 'Good command of English and Chinese', '2 years or above of relevant experience preferred', 'More experience shall be considered as a Senior graphic', 'designer', 'Strong skilled in Adobe CC Photoshop, Illustrator, Sketch, Adobe XD', 'Good drawing skill and 3D rendering skill is an advantage', 'Good understanding of interaction, journeys and prototyping is an advantage', 'Self-motivated, willing to learn and strong sense of responsibility and commitment', 'Experienced in mobile interface will be an advantage']","Media & Advertising, Creative / Design, Design, Web Designer, Information Technology (IT), UI/UX Designer","['UX UI Designer', '5 Days Work | Bonus | Med | Attractive Package', 'Stable & Good Career Path']",/hk/en/job/ui-ux-designer-web-mobile-application-100003008826713,UI/UX Designer ( Web / Mobile Application ),Full Time,Not Specified,Not Specified,UI UX Designer,,,1,1,1,1,1,,,,-1
Not Specified,Middle,Century City Holdings Limited,Not Specified,JobsDB,10-20-2021,22-10-2021,,,Mixed Industry Group,"['Role: As our group is expanding rapidly in business development with multiple technology initiatives, we are looking to hire a talented UI/UX designer with a proven track record of delivering high-caliber artwork and digital user experience. (Successful candidate with more relevant work experience would have the job title of Senior UI/UX Designer).', 'What you will be doing', 'Design and construct the user interface for the group’s web products', 'Delivering comps and assets and when applicable, finished HTML/CSS', 'Work closely with software developers to ensure the build matches visual design', 'Help establish and reinforce consistent interaction design patterns across platforms and touch points', 'Contribute to high-level direction and ideas for the group’s products', 'Work alongside our software developers, IT Project Managers, Product Owners, and senior management to construct product requirements and track progress to ensure milestones are met', 'Collect and evaluate user requirements in collaboration","Media & Advertising, Creative / Design, Design, Graphics, Information Technology (IT), UI/UX Designer","['UI design, UX design, digital visual', 'graphic design', 'direct-to-consumer e-commerce environment']",/hk/en/job/senior-ui-ux-designer-e-commerce-100003008828155,(Senior) UI/UX Designer (e-Commerce),Full Time,Degree,Not Specified,UI UX Designer,,,1,,1,,1,,,,4
Not Specified,Entry,A&A Limited,Not Specified,JobsDB,10-19-2021,22-10-2021,,,Information Technology,"['Want to make a change in the exciting digital era?', 'Join A&A with our intellectually curious and passionate team.', '\xa0', 'A&A Mission: We’re here to make digital transformation happen!', 'Responsibilities:', 'Create design deliverables (wireframes, mockups, prototypes, flows, UI artwork etc.)', 'Work with project management team and developers to iterate on the design artwork to provide best user experience', 'Design and conduct user research and usability testing to troubleshoot the problems', 'Stay informed of the latest UX/UI techniques, tools, and patterns', 'Share user research findings and UX/UI best practices/ recommendations with team and clients', 'Job requirements:', 'Minimum 1 year of UI /UX design experience (especially on web and mobile app). Fresh graduates would also be considered.', 'Experience designing intuitive user experiences based on requirements', 'Attention to details about spelling, alignment and spacing', 'Passionate to provide innovative, creative and reliable digital busines","Design, Web Designer, Others, Information Technology (IT), UI/UX Designer","['5 days work; Medical allowance; Great exposure', 'UX/UI Design; Digital Design; Web Design', 'Website, Mobile App, System, Chatbot and Digital']",/hk/en/job/ui-ux-designer-100003008827162,UI/UX Designer,"Full Time, Permanent",Not Specified,Not Specified,UI UX Designer,,,1,1,1,,1,,,,-1
Not Specified,Middle,High Fashion Group,http://www.highfashion.com.hk,JobsDB,10-20-2021,22-10-2021,,,Clothing/Garment/Textile,"['Responsibilities:', 'Design and develop website application UXUI', 'Collaborate and work with brand management team to create UX and UI experiences', 'Develop and create wireframes, user journey, user stories, UI, graphics, virual design, layouts and prototype for website & Mobile Apps.', 'Research on UXUI designs and design frameworks and concepts for the website & Mobile Apps.', 'Skills of a UX Designer to identify product owner’s needs/problems and uncover business opportunities', 'Able to communicate concepts and work collaboratively with project team in order to develop the most efficient design schemas', 'Assist ad-hoc duties when necessary', 'Requirements:', 'University Degree in Graphic design/ Interactive design / Multimedia design or related disciplines is preferred', 'Proficiency in Sketch, InVision, Illustrator, Photoshop, InDesign and other design/ prototyping tools', 'At least 2- 5 years experiences in UX & UI', 'Understanding of the latest UX/ UI trends in technology', 'Good drawing skill and","Information Technology (IT), UI/UX Designer","['Design and develop website application UXUI', 'Develop and create wireframes for mobile apps', 'Understanding of the latest UX/ UI trends']",/hk/en/job/uxui-designer-100003008828290,UXUI Designer,Full Time,Degree,Not Specified,UI UX Designer,,,1,1,1,,1,,,,2
Not Specified,Middle,Alexis Services Limited,Not Specified,JobsDB,10-19-2021,22-10-2021,,,Human Resources Management/Consultancy,"['Responsibilities:', 'Comprehend business needs from both user and client perspectives', 'Participate in product design with product owner', 'Produce sample page layouts (i.e. Wireframes)', 'Build design guidelines and standards for both web and mobile', 'Create visual documents for review by stakeholders from different regions/countries', 'Constantly communicate with Product Development, Frontend Devs to enhance the system UI design', 'Gather feedback after product launch to improve UI design', 'Requirements', 'Minimum three years of UI design experience', 'Familiar with both mobile & web UI design practices', 'Understand the processes of product design and standardization', 'Excellent communication Skills']","Information Technology (IT), UI/UX Designer","['UI design experience', 'NFT', 'Produce sample page layouts (i.e. Wireframes)']",/hk/en/job/ui-ux-designer-blockchain-crypto-punks-nft-100003008827211,UI /UX Designer - Blockchain Crypto Punks NFT,Full Time,Not Specified,HK$35K - 45K /month ,UI UX Designer,40,,,,1,,1,,35,45,-1
Not Specified,Entry,TuoFan IT Limited,Not Specified,JobsDB,10-19-2021,22-10-2021,,,Information Technology,"['Job Highlights', '2 years+ experience in a UI/UX-related field', 'Social Media, Blockchain, DeFi platform', 'Young & energetic team, innovative startup culture', 'Job Description', 'Responsibilities:', 'Maintain the consistency and sustainability of our visual design system.', 'Collaborate with product managers, developers, and cross-functional stakeholders to understand requirements, and provide creative, thoughtful solutions.', 'Communicate concepts with storyboards, wireframes. Guide design and development with high-fidelity phototype.Work with IT team.', 'Requirements:', 'Minimum2-year experience in UI/UX-related field, social media experience is an advantage.', 'Solid UI design experience on cross platform, familiarity with technical constraints and limitations on Desktop, mobile web, android and IOS.', 'Proficiency in design tools, Adobe Creative Suite, figma etc.', 'Pragmatic Thinking.', 'Good communication skills.', 'Self-motivated, Excellent problem-solving skills.', 'Interested parties are invited","Information Technology (IT), Technical Writing, Others, UI/UX Designer","['UI Design', 'UI/UX Designer', 'Social Media']",/hk/en/job/ui-ux-designer-100003008825658,UI / UX Designer,Full Time,Not Specified,Not Specified,UI UX Designer,,,,,1,,1,,,,-1
Not Specified,Entry,Chow Sang Sang Holdings International Limited,http://www.chowsangsang.com,JobsDB,10-21-2021,22-10-2021,,,Wholesale / Retail,"['Responsibilities:', 'Responsible to design, monitor and optimize the layout, graphics and user interface\xa0', 'Producing rich and creative media online campaigns include eDM, banners, etc.\xa0', 'Producing well designed presentation materials as well as user interfaces that address the needs of business, brand, market and user requirements', 'Support the team of the creative strategy for online campaigns', 'Passionate in web design and mobile applications, with good understanding of current and future trends', 'Requirements:', 'Diploma or above in Web Design or other related disciplines', '3 years or above web design working experience, with at least 1 year experience in e-commerce industry', 'Good aesthetics and with an eye for details', 'Familiar to optimize layouts for mobile and web environments to drive e-commerce', 'Be creative, hardworking, responsible and with a strong design sense', 'Able to work under pressure and complete ', 'multiple\xa0', 'tasks in a timely manner independently', 'Mature, ener","Design, Multi-media, Web Designer, Information Technology (IT), UI/UX Designer","['Responsible for the web design', 'Producing rich and creativemedia online campaigns', '3 years or above web design working experience']",/hk/en/job/senior-multimedia-designer-100003008833119,Senior Multimedia Designer,"Full Time, Permanent",Non-Degree Tertiary,Not Specified,UI UX Designer,,,,,,,,,,,3
Not Specified,Middle,Nexify Limited,Not Specified,JobsDB,10-18-2021,22-10-2021,,,Information Technology,"['Nexify Limited is one of the leading IT solution providers specialized in system integration in Hong Kong. We encourage innovation, teamwork and personal growth. With continuous business expansion, we need high calibre candidates to join our professional team and we offer exciting job opportunities to the right talents. If you want to work in a fun and energetic environment, please do not hesitate to apply!', 'Job Description', 'Collect and evaluate user requirements in collaboration with user and internal project team', 'Demonstrate design ideas by storyboards, process flows and sitemaps', 'Develop UI mockups and prototypes that clearly illustrate how sites function and look like', 'Create original graphic designs (e.g. images, sketches and tables)', 'Prepare and present rough drafts to internal teams and key stakeholders', 'Identify and troubleshoot UX problems (e.g. responsiveness)', 'Conduct layout adjustments based on user feedback', 'Adhere to style standards on fonts, colors and images', 'Job Require","Design, Web Designer, Information Technology (IT), Software Development, UI/UX Designer","['Develop UI mockups and prototypes', 'Identify and troubleshoot UX problems', 'Attractive remuneration package & 5 days work']",/hk/en/job/ui-ux-designer-100003008820748,UI/UX Designer,"Full Time, Permanent",Degree,Not Specified,UI UX Designer,,,1,,1,,,,,,2
